,Unit,Session,Type,Description,Weight,Due,Length,School
3,MATH3076,2024-S1C-ND-CC,Online task,Online Quiz,10%,6 Apr 2024,1 hour,Mathematics and Statistics Academic Operations
4,MATH3076,2024-S1C-ND-CC,Assignment,Assignment 3,15%,2 May 2024,Standard assessment,Mathematics and Statistics Academic Operations
0,MATH3976,2024-S1C-ND-CC,,Final Exam,50%,Formal exam period,2 hours,Mathematics and Statistics Academic Operations
1,MATH3976,2024-S1C-ND-CC,Assignment,Assignment 1,10%,6 Mar 2024,Standard assessment,Mathematics and Statistics Academic Operations
2,MATH3976,2024-S1C-ND-CC,Assignment,Assignment 2,15%,7 Apr 2024,Standard assessment,Mathematics and Statistics Academic Operations
3,MATH3976,2024-S1C-ND-CC,Online task,Online quiz,10%,6 Apr 2024,1 hour,Mathematics and Statistics Academic Operations
4,MATH3976,2024-S1C-ND-CC,Assignment,Project,15%,2 May 2024,Standard assessment,Mathematics and Statistics Academic Operations
0,MATH3974,2024-S1C-ND-CC,,Final exam,60%,Formal exam period,2 hours,Mathematics and Statistics Academic Operations
1,MATH3974,2024-S1C-ND-CC,Short release assignment,Assignment 1,10%,7 Mar 2024,8-10 pages (as a guide),Mathematics and Statistics Academic Operations
2,MATH3974,2024-S1C-ND-CC,Short release assignment,Assignment 2,15%,1 Apr 2024,10-14 pages (as a guide),Mathematics and Statistics Academic Operations
3,MATH3974,2024-S1C-ND-CC,Short release assignment,Assignment 3,15%,7 May 2024,10-14 pages (as a guide),Mathematics and Statistics Academic Operations
0,MATH3979,2024-S1C-ND-CC,,Final exam,60%,Formal exam period,2 hours,Mathematics and Statistics Academic Operations
1,MATH3979,2024-S1C-ND-CC,Assignment,Assignment 1,15%,1 Mar 2024,2 weeks,Mathematics and Statistics Academic Operations
2,MATH3979,2024-S1C-ND-CC,Tutorial quiz,Quiz,10%,9 Apr 2024,45 minutes,Mathematics and Statistics Academic Operations
3,MATH3979,2024-S1C-ND-CC,Assignment,Assignment 2,15%,2 May 2024,2 weeks,Mathematics and Statistics Academic Operations
0,PCOL2021,2024-S1C-ND-CC,,Final Exam,30%,Formal exam period,1.5 hours,Pharmacy
1,PCOL2021,2024-S1C-ND-CC,Online task,Continuous assessment,20%,Multiple weeks,20 min to answer 15 questions,Pharmacy
2,PCOL2021,2024-S1C-ND-CC,Presentation,Oral presentation,10%,Multiple weeks,5 min,Pharmacy
3,PCOL2021,2024-S1C-ND-CC,Assignment,Concentration-response curves exercises,15%,0 Mar 2024,N/A,Pharmacy
4,PCOL2021,2024-S1C-ND-CC,Assignment,Cholinesterases and inhibitors practical report,20%,8 Apr 2024,1000-1500 words,Pharmacy
5,PCOL2021,2024-S1C-ND-CC,Assignment,Personal reflection,5%,6 May 2024,500 words,Pharmacy
0,MCHM3001,2024-S1C-ND-CC,,Final exam,40%,Formal exam period,2 hours,Department of Medical Sciences
1,MCHM3001,2024-S1C-ND-CC,Presentation,Presentation,10%,1 Mar 2024,3 minute duration.,Department of Medical Sciences
2,MCHM3001,2024-S1C-ND-CC,Small test,Test 1,5%,2 Mar 2024,1 hour,Department of Medical Sciences
3,MCHM3001,2024-S1C-ND-CC,Presentation,Group slide presentation,10%,2 Apr 2024,10-slide template provided.,Department of Medical Sciences
4,MCHM3001,2024-S1C-ND-CC,Assignment,In silico Docking Assignment Figure and Legend,10%,8 Apr 2024,1 page,Department of Medical Sciences
5,MCHM3001,2024-S1C-ND-CC,Small test,Test 2,5%,2 May 2024,1 hour,Department of Medical Sciences
6,MCHM3001,2024-S1C-ND-CC,Assignment,Project report,20%,4 May 2024,Variable,Department of Medical Sciences
0,MCHM3901,2024-S1C-ND-CC,,Final exam,40%,Formal exam period,2 hours,Department of Medical Sciences
1,MCHM3901,2024-S1C-ND-CC,Presentation,Presentation,10%,1 Mar 2024,3 minute duration.,Department of Medical Sciences
2,MCHM3901,2024-S1C-ND-CC,Small test,Test 1,5%,2 Mar 2024,1 hour,Department of Medical Sciences
3,MCHM3901,2024-S1C-ND-CC,Presentation,Group slide presentation,10%,2 Apr 2024,10-slide template provided.,Department of Medical Sciences
4,MCHM3901,2024-S1C-ND-CC,Assignment,In silico Docking Assignment Figure and Legend,10%,8 Apr 2024,1 page,Department of Medical Sciences
5,MCHM3901,2024-S1C-ND-CC,Small test,Test 2,5%,2 May 2024,1 hour,Department of Medical Sciences
6,MCHM3901,2024-S1C-ND-CC,Assignment,Project report,20%,4 May 2024,Variable,Department of Medical Sciences
0,MGRK1601,2024-S1C-ND-CC,Assignment,Tests,30%,-,1000 words,Modern Greek and Byzantine Studies
1,MGRK1601,2024-S1C-ND-CC,Assignment,Online quizzes,20%,-,1000 words,Modern Greek and Byzantine Studies
2,MGRK1601,2024-S1C-ND-CC,Presentation,Oral,20%,Ongoing,500 words,Modern Greek and Byzantine Studies
3,MGRK1601,2024-S1C-ND-CC,Small test,EARLY FEEDBACK TASK,0%,5 Mar 2024,30 minutes,Modern Greek and Byzantine Studies
4,MGRK1601,2024-S1C-ND-CC,Assignment,exam,30%,Week 13,2000 words,Modern Greek and Byzantine Studies
0,MGRK2601,2024-S1C-ND-CC,Presentation,Oral presentation,5%,-,400 words equivalent,Modern Greek and Byzantine Studies
1,MGRK2601,2024-S1C-ND-CC,Assignment,History short essay,30%,1 Jun 2024,1500 words,Modern Greek and Byzantine Studies
2,MGRK2601,2024-S1C-ND-CC,Tutorial quiz,2 small class grammar quizzes,10%,Multiple weeks,400 words equivalent (for both),Modern Greek and Byzantine Studies
3,MGRK2601,2024-S1C-ND-CC,Presentation,End of semester oral test,5%,Multiple weeks,200 words equivalent,Modern Greek and Byzantine Studies
4,MGRK2601,2024-S1C-ND-CC,Online task,2 writing tasks,5%,Multiple weeks,200 words equivalent,Modern Greek and Byzantine Studies
5,MGRK2601,2024-S1C-ND-CC,Small continuous assessment,History short answers,20%,Ongoing,600 words,Modern Greek and Byzantine Studies
6,MGRK2601,2024-S1C-ND-CC,Tutorial quiz,Tutorial quiz 1,10%,Week 08,600 words equivalent,Modern Greek and Byzantine Studies
7,MGRK2601,2024-S1C-ND-CC,Tutorial quiz,Tutorial quiz 2,15%,Week 13,600 words equivalent,Modern Greek and Byzantine Studies
0,MGRK2603,2024-S1C-ND-CC,Assignment,Take-home assignment,40%,-,1600 words,Modern Greek and Byzantine Studies
1,MGRK2603,2024-S1C-ND-CC,Small continuous assessment,3 x exercises equivalent to total (300 words each),22.5%,Multiple weeks,900 words/exercise,Modern Greek and Byzantine Studies
2,MGRK2603,2024-S1C-ND-CC,Small continuous assessment,4 x Compositions equivalent to total (500 words each),30%,Multiple weeks,1500 words/composition,Modern Greek and Byzantine Studies
3,MGRK2603,2024-S1C-ND-CC,Small test,Exercises equivalent to total,7.5%,Ongoing,500 words,Modern Greek and Byzantine Studies
0,MCGY1030,2024-S1C-ND-SC,Participation,Paticipation,20%,Ongoing,n/a,"Analysis, History and Cultural Studies"
1,MCGY1030,2024-S1C-ND-SC,Online task,Early feedback task,0%,1 Mar 2024,15-20 minutes,"Analysis, History and Cultural Studies"
2,MCGY1030,2024-S1C-ND-SC,Assignment,Lecture Response 1,10%,8 Mar 2024,800 words equivalent,"Analysis, History and Cultural Studies"
3,MCGY1030,2024-S1C-ND-SC,Assignment,Article analysis,25%,2 Mar 2024,Up to 1500 words,"Analysis, History and Cultural Studies"
4,MCGY1030,2024-S1C-ND-SC,Presentation,Group presentation,5%,Week 08,250 words equivalent,"Analysis, History and Cultural Studies"
5,MCGY1030,2024-S1C-ND-SC,Assignment,Lecture Response 2,10%,0 May 2024,800 words equivalent,"Analysis, History and Cultural Studies"
6,MCGY1030,2024-S1C-ND-SC,Assignment,Final essay,30%,4 May 2024,Up to 2500 words,"Analysis, History and Cultural Studies"
0,MUSC1507,2024-S1C-ND-CC,,Final exam,30%,Formal exam period,2 hours,"Analysis, History and Cultural Studies"
1,MUSC1507,2024-S1C-ND-CC,Online task,Early Feedback Task - First 3 weekly Canvas quizzes,5%,Multiple weeks,5-10mins per quiz,"Analysis, History and Cultural Studies"
2,MUSC1507,2024-S1C-ND-CC,Assignment,Making and Selling Music Through Media,20%,2 Mar 2024,1000 words,"Analysis, History and Cultural Studies"
3,MUSC1507,2024-S1C-ND-CC,Assignment,Represent! Analysing Musical Media,20%,3 May 2024,1000 Words,"Analysis, History and Cultural Studies"
4,MUSC1507,2024-S1C-ND-CC,Participation,Class Participation,10%,Weekly,N/A,"Analysis, History and Cultural Studies"
5,MUSC1507,2024-S1C-ND-CC,Tutorial quiz,Weekly Qs&As from week 4 - week 13,15%,Weekly,5 Questions each quiz,"Analysis, History and Cultural Studies"
0,MCGY2612,2024-S1C-ND-SC,,Final exam,30%,Formal exam period,2 hours,"Analysis, History and Cultural Studies"
1,MCGY2612,2024-S1C-ND-SC,Small test,Mini quizzes,15%,Multiple weeks,15 mins each,"Analysis, History and Cultural Studies"
2,MCGY2612,2024-S1C-ND-SC,Assignment,Essay,30%,4 Apr 2024,1700-2000 words,"Analysis, History and Cultural Studies"
3,MCGY2612,2024-S1C-ND-SC,Assignment,Tutorial assignment,15%,9 Mar 2024,800 words,"Analysis, History and Cultural Studies"
4,MCGY2612,2024-S1C-ND-SC,Participation,Tutorial participation,10%,Weekly,Weekly involvement,"Analysis, History and Cultural Studies"
0,MCGY2613,2024-S1C-ND-SC,,Final exam,40%,Formal exam period,2 hours,"Analysis, History and Cultural Studies"
1,MCGY2613,2024-S1C-ND-SC,Small test,In-class tests,20%,Multiple weeks,4 x 15 minutes,"Analysis, History and Cultural Studies"
2,MCGY2613,2024-S1C-ND-SC,Small continuous assessment,Tutorial preparation and participation,10%,e: 31 May 2,n/a,"Analysis, History and Cultural Studies"
3,MCGY2613,2024-S1C-ND-SC,Assignment,Essay,30%,7 May 2024,1500 words,"Analysis, History and Cultural Studies"
0,MUSC2612,2024-S1C-ND-CC,Small continuous assessment,Critical evaluation notes for rounds 1 and 2,20%,Multiple weeks,2 x 500 words,"Analysis, History and Cultural Studies"
1,MUSC2612,2024-S1C-ND-CC,Creative assessment / demonstration,Solo or accompanied performance (rounds 1 and 2),40%,Multiple weeks,20 minutes,"Analysis, History and Cultural Studies"
2,MUSC2612,2024-S1C-ND-CC,Creative assessment / demonstration,Ensemble performance (Round 3),15%,Multiple weeks,15 minutes,"Analysis, History and Cultural Studies"
3,MUSC2612,2024-S1C-ND-CC,Presentation,Seminar presentation,15%,Week 08,15 minutes,"Analysis, History and Cultural Studies"
4,MUSC2612,2024-S1C-ND-CC,Placement,Contribution and participation,10%,Week 13,n/a,"Analysis, History and Cultural Studies"
0,MUSC2614,2024-S1C-ND-CC,Assignment,Final Composition Project,40%,0 May 2024,3-5 minutes,"Analysis, History and Cultural Studies"
1,MUSC2614,2024-S1C-ND-CC,Small continuous assessment,Discussion Forums,10%,Multiple weeks,Contribute to online discussion forums.,"Analysis, History and Cultural Studies"
2,MUSC2614,2024-S1C-ND-CC,Assignment,Mini Composition Assignment 1,20%,7 Mar 2024,1-2 minutes,"Analysis, History and Cultural Studies"
3,MUSC2614,2024-S1C-ND-CC,Assignment,Final Project Research,10%,8 Apr 2024,1000 words,"Analysis, History and Cultural Studies"
4,MUSC2614,2024-S1C-ND-CC,Participation,Participation in weekly class workshops and performances.,20%,Weekly,n/a,"Analysis, History and Cultural Studies"
0,MUSC2645,2024-S1C-ND-CC,Participation,Participation and engagement,10%,Ongoing,N/A,"Analysis, History and Cultural Studies"
1,MUSC2645,2024-S1C-ND-CC,Presentation,Presentation and Participation,30%,Ongoing,N/A,"Analysis, History and Cultural Studies"
2,MUSC2645,2024-S1C-ND-CC,Presentation,Poster presentation,30%,3 Apr 2024,2-3min presentation. 700-800 words,"Analysis, History and Cultural Studies"
3,MUSC2645,2024-S1C-ND-CC,Small test,Essay,30%,1 May 2024,50 minutes - 1000-1200 words,"Analysis, History and Cultural Studies"
0,MUSC2696,2024-S1C-ND-SC,Tutorial quiz,Mid-semester quiz,20%,Week 06,15mins,"Analysis, History and Cultural Studies"
1,MUSC2696,2024-S1C-ND-SC,Small test,Listening test,20%,Week 12,15 minutes,"Analysis, History and Cultural Studies"
2,MUSC2696,2024-S1C-ND-SC,Participation,Class participation,30%,Week 12,Continuous assessment,"Analysis, History and Cultural Studies"
3,MUSC2696,2024-S1C-ND-SC,Creative assessment / demonstration,Group practical assesment,30%,Week 12,10mins,"Analysis, History and Cultural Studies"
0,MCGY3604,2024-S1C-ND-SC,Participation,Seminar preparation and class participation,20%,Ongoing,Ongoing,"Analysis, History and Cultural Studies"
1,MCGY3604,2024-S1C-ND-SC,Assignment,Creative project,30%,1 May 2024,1500 words or equivalent creative work,"Analysis, History and Cultural Studies"
2,MCGY3604,2024-S1C-ND-SC,Assignment,Weekly critical reading journal 1,20%,5 Mar 2024,1000 words,"Analysis, History and Cultural Studies"
3,MCGY3604,2024-S1C-ND-SC,Assignment,Critical reading and listening journal 2,20%,0 May 2024,1000 words,"Analysis, History and Cultural Studies"
4,MCGY3604,2024-S1C-ND-SC,Assignment,Peer feedback,10%,4 May 2024,2 x 100 words,"Analysis, History and Cultural Studies"
0,MCGY3639,2024-S1C-ND-SC,Assignment,Research essay final,30%,5 Jun 2024,3000 words,"Analysis, History and Cultural Studies"
1,MCGY3639,2024-S1C-ND-SC,Small test,In-class test,20%,Multiple weeks,25 minutes,"Analysis, History and Cultural Studies"
2,MCGY3639,2024-S1C-ND-SC,Presentation,Presentation,20%,Multiple weeks,12-15 minutes,"Analysis, History and Cultural Studies"
3,MCGY3639,2024-S1C-ND-SC,Assignment,Research essay proposal,5%,0 Apr 2024,300 words,"Analysis, History and Cultural Studies"
4,MCGY3639,2024-S1C-ND-SC,Assignment,Research essay draft,15%,8 May 2024,2000–3000 words,"Analysis, History and Cultural Studies"
5,MCGY3639,2024-S1C-ND-SC,Participation,Seminar participation,10%,Weekly,n/a,"Analysis, History and Cultural Studies"
0,MUSC3639,2024-S1C-ND-CC,Small test,Short Reviews,15%,3 Mar 2024,2 x 200 word reviews completed in class,"Analysis, History and Cultural Studies"
1,MUSC3639,2024-S1C-ND-CC,Assignment,Long Review,25%,4 Mar 2024,1000 words,"Analysis, History and Cultural Studies"
2,MUSC3639,2024-S1C-ND-CC,Assignment,Live Review and Q&A,15%,1 Mar 2024,800 words + 2mins Q&A,"Analysis, History and Cultural Studies"
3,MUSC3639,2024-S1C-ND-CC,Presentation,Genre Exploration with Q&A,20%,5 May 2024,1500 words or 10min audio/video with Q&A,"Analysis, History and Cultural Studies"
4,MUSC3639,2024-S1C-ND-CC,Assignment,Profile/Interview with Q&A,25%,2 May 2024,1500 words and 2-min Q&A,"Analysis, History and Cultural Studies"
0,MUSC3641,2024-S1C-ND-CC,Assignment,Major project,35%,5 Jun 2024,4000 words or 7-10 minute video essay,"Analysis, History and Cultural Studies"
1,MUSC3641,2024-S1C-ND-CC,Participation,Q&A - Participation in two tutorial panels,20%,Multiple weeks,10-15 minute discussion with others,"Analysis, History and Cultural Studies"
2,MUSC3641,2024-S1C-ND-CC,Presentation,Demonstration of planning for your individual major project,15%,Multiple weeks,5-10mins,"Analysis, History and Cultural Studies"
3,MUSC3641,2024-S1C-ND-CC,Participation,Participation in weekly activities and discussions,10%,Ongoing,N/A,"Analysis, History and Cultural Studies"
4,MUSC3641,2024-S1C-ND-CC,Assignment,Reflective engagement,20%,8 Mar 2024,1000 words,"Analysis, History and Cultural Studies"
0,PSYC1002,2024-S1CIJA-BM-CC,Online task,Mental Health Conditions - Online Quiz,0.83%,2 Jan 2024,See Canvas for details.,Psychology Academic Operations
1,PSYC1002,2024-S1CIJA-BM-CC,Online task,Mental Abilities - Online Quiz,0.83%,7 Jan 2024,See Canvas for details.,Psychology Academic Operations
2,PSYC1002,2024-S1CIJA-BM-CC,Online task,Cognitive Processes - Online Quiz,0.83%,0 Jan 2024,See Canvas for details.,Psychology Academic Operations
3,PSYC1002,2024-S1CIJA-BM-CC,Online task,Perception - Online Quiz,0.84%,6 Jan 2024,See Canvas for details.,Psychology Academic Operations
4,PSYC1002,2024-S1CIJA-BM-CC,Online task,Learning and Motivation - Online Quiz,0.84%,2 Feb 2024,See Canvas for details.,Psychology Academic Operations
5,PSYC1002,2024-S1CIJA-BM-CC,Online task,Neuroscience - Online Quiz,0.83%,7 Feb 2024,See Canvas for details.,Psychology Academic Operations
6,PSYC1002,2024-S1CIJA-BM-CC,Assignment,Research Report,30%,0 Jan 2024,1150 words,Psychology Academic Operations
7,PSYC1002,2024-S1CIJA-BM-CC,,Final Exam,60%,February exam weeks,2 hours,Psychology Academic Operations
8,PSYC1002,2024-S1CIJA-BM-CC,Placement,Research Participation,5%,9 Feb 2024,5 hours,Psychology Academic Operations
0,PSYC2015,2024-S1C-ND-CC,,Final Exam,40%,Formal exam period,2 hours,Psychology Academic Operations
1,PSYC2015,2024-S1C-ND-CC,Small continuous assessment,Tutorial Quizzes,10%,Ongoing,See Canvas for details.,Psychology Academic Operations
2,PSYC2015,2024-S1C-ND-CC,Small continuous assessment,Lecture Quizzes,5%,Ongoing,See Canvas for details.,Psychology Academic Operations
3,PSYC2015,2024-S1C-ND-CC,Presentation,Group Project Presentation,15%,Week 10,15 minutes,Psychology Academic Operations
4,PSYC2015,2024-S1C-ND-CC,Assignment,Research Report,20%,5 May 2024,1500 words,Psychology Academic Operations
5,PSYC2015,2024-S1C-ND-CC,Participation,Peer Evaluation,10%,Week 13,See Canvas for details.,Psychology Academic Operations
0,PSYC2915,2024-S1C-ND-CC,,Final Exam,40%,Formal exam period,2 hours,Psychology Academic Operations
1,PSYC2915,2024-S1C-ND-CC,Small continuous assessment,Tutorial Quizzes,10%,Ongoing,See Canvas for details.,Psychology Academic Operations
2,PSYC2915,2024-S1C-ND-CC,Small continuous assessment,Lecture Quizzes,5%,Ongoing,See Canvas for details.,Psychology Academic Operations
3,PSYC2915,2024-S1C-ND-CC,Presentation,Group Project Presentation,15%,Week 10,15 minutes,Psychology Academic Operations
4,PSYC2915,2024-S1C-ND-CC,Assignment,Research Report,20%,5 May 2024,1500 words,Psychology Academic Operations
5,PSYC2915,2024-S1C-ND-CC,Participation,Peer Evaluation,10%,Week 13,See Canvas for details.,Psychology Academic Operations
0,NEUR3005,2024-S1C-ND-CC,,Final theory exam,40%,Formal exam period,2 hours,Department of Medical Sciences
1,NEUR3005,2024-S1C-ND-CC,,Final Spot test,20%,Formal exam period,1 hour,Department of Medical Sciences
2,NEUR3005,2024-S1C-ND-CC,Online task,Summative Canvas Quizzes,10%,Multiple weeks,15 mins each,Department of Medical Sciences
3,NEUR3005,2024-S1C-ND-CC,Participation,Neuroscience in the media participation,5%,Multiple weeks,ongoing,Department of Medical Sciences
4,NEUR3005,2024-S1C-ND-CC,Small continuous assessment,View neuroanatomy videos and complete quizzes,0%,Ongoing,n/a,Department of Medical Sciences
5,NEUR3005,2024-S1C-ND-CC,Small continuous assessment,View brain imaging videos,0%,Ongoing,n/a,Department of Medical Sciences
6,NEUR3005,2024-S1C-ND-CC,Small test,Spot test 1,10%,Week 07,30 Minutes,Department of Medical Sciences
7,NEUR3005,2024-S1C-ND-CC,Assignment,Neuroscience in the media group video task,15%,9 Apr 2024,Maximum video length 4mins24secs.,Department of Medical Sciences
8,NEUR3005,2024-S1C-ND-CC,Small continuous assessment,Self assess understanding of lecture learning outcomes,0%,Weekly,n/a,Department of Medical Sciences
0,NEUR3905,2024-S1C-ND-CC,,Final theory exam,40%,Formal exam period,2 hours,Department of Medical Sciences
1,NEUR3905,2024-S1C-ND-CC,,Final Spot test,20%,Formal exam period,1 hour,Department of Medical Sciences
2,NEUR3905,2024-S1C-ND-CC,Online task,Weekly Canvas quizzes,10%,Multiple weeks,10mins each,Department of Medical Sciences
3,NEUR3905,2024-S1C-ND-CC,Small continuous assessment,View neuroanatomy videos and complete quizzes,0%,Ongoing,n/a,Department of Medical Sciences
4,NEUR3905,2024-S1C-ND-CC,Small continuous assessment,View brain imaging videos,0%,Ongoing,n/a,Department of Medical Sciences
5,NEUR3905,2024-S1C-ND-CC,Small test,Spot test 1,10%,Week 07,30 minutes,Department of Medical Sciences
6,NEUR3905,2024-S1C-ND-CC,Assignment,Research proposal,5%,4 May 2024,750 words,Department of Medical Sciences
7,NEUR3905,2024-S1C-ND-CC,Participation,Journal club seminars participation,7.5%,Weekly,8 x 1 hour,Department of Medical Sciences
8,NEUR3905,2024-S1C-ND-CC,Presentation,Journal club seminars presentation,7.5%,Weekly,1 x 45 minutes,Department of Medical Sciences
9,NEUR3905,2024-S1C-ND-CC,Small continuous assessment,Self assess understanding of learning outcomes,0%,Weekly,n/a,Department of Medical Sciences
10,NEUR3905,2024-S1C-ND-CC,Online task,Tutorial Questions,0%,Weekly,Variable,Department of Medical Sciences
0,NEUR3006,2024-S1C-ND-CC,,Final exam,40%,Formal exam period,2 hours,Department of Medical Sciences
1,NEUR3006,2024-S1C-ND-CC,Presentation,Paper presentation grade,10%,Multiple weeks,30 minutes presentation + questions,Department of Medical Sciences
2,NEUR3006,2024-S1C-ND-CC,Presentation,Neurons in action poster presentation,6%,Week 06,5min presentation + questions,Department of Medical Sciences
3,NEUR3006,2024-S1C-ND-CC,Online task,In-semester quiz,10%,9 Apr 2024,50min,Department of Medical Sciences
4,NEUR3006,2024-S1C-ND-CC,Tutorial quiz,Vision Prac quiz,4%,Week 12,10,Department of Medical Sciences
5,NEUR3006,2024-S1C-ND-CC,Small test,Seminar reflections,20%,3 May 2024,2 hours,Department of Medical Sciences
6,NEUR3006,2024-S1C-ND-CC,Participation,Paper session participation grade,10%,Weekly,n/a,Department of Medical Sciences
0,NEUR3906,2024-S1C-ND-CC,,Final exam,40%,Formal exam period,2 hours,Department of Medical Sciences
1,NEUR3906,2024-S1C-ND-CC,Presentation,Neurons in action poster presentation,6%,Week 06,5 minutes presentation + questions,Department of Medical Sciences
2,NEUR3906,2024-S1C-ND-CC,Online task,In-semester quiz,10%,9 Apr 2024,50 minutes,Department of Medical Sciences
3,NEUR3906,2024-S1C-ND-CC,Assignment,Grant application summary,0%,9 Apr 2024,1 page,Department of Medical Sciences
4,NEUR3906,2024-S1C-ND-CC,Tutorial quiz,Vision prac quiz,4%,Week 12,10min,Department of Medical Sciences
5,NEUR3906,2024-S1C-ND-CC,Assignment,Advanced prac reports,20%,4 May 2024,2000 words,Department of Medical Sciences
6,NEUR3906,2024-S1C-ND-CC,Assignment,Grant proposal,20%,4 May 2024,2000 words,Department of Medical Sciences
0,NUTM3001,2024-S1C-ND-CC,,Final exam,40%,Formal exam period,2 hours,Life and Environmental Sciences Academic Operations
1,NUTM3001,2024-S1C-ND-CC,Assignment,Journal club presentation,20%,1 Mar 2024,5 min,Life and Environmental Sciences Academic Operations
2,NUTM3001,2024-S1C-ND-CC,Assignment,Diet & Metabolic Signalling lab report,15%,9 Apr 2024,2 pages,Life and Environmental Sciences Academic Operations
3,NUTM3001,2024-S1C-ND-CC,Assignment,Nutritional genomics assessment,15%,5 Apr 2024,2 pages,Life and Environmental Sciences Academic Operations
4,NUTM3001,2024-S1C-ND-CC,Assignment,Glycemic Index Abstract,10%,3 May 2024,300 words,Life and Environmental Sciences Academic Operations
0,PCOL3011,2024-S1C-ND-CC,,Final Exam,40%,Formal exam period,2 hours,Pharmacy
1,PCOL3011,2024-S1C-ND-CC,Presentation,Tutorial presentation,8%,Multiple weeks,5 minutes,Pharmacy
2,PCOL3011,2024-S1C-ND-CC,Tutorial quiz,Quizzes,10%,Multiple weeks,15 minutes,Pharmacy
3,PCOL3011,2024-S1C-ND-CC,Participation,Tutorial participation,2%,Ongoing,n/a,Pharmacy
4,PCOL3011,2024-S1C-ND-CC,Assignment,Toxicity Assessment,15%,8 Apr 2024,900 words,Pharmacy
5,PCOL3011,2024-S1C-ND-CC,Skills-based evaluation,Data Management Skills Assessment,5%,Week 11,10 minutes,Pharmacy
6,PCOL3011,2024-S1C-ND-CC,Assignment,LD50 report,20%,7 May 2024,1400 Words,Pharmacy
0,PCOL3911,2024-S1C-ND-CC,,Final exam,40%,Formal exam period,2 hours,Pharmacy
1,PCOL3911,2024-S1C-ND-CC,Presentation,Tutorial presentation,8%,Multiple weeks,5 minutes,Pharmacy
2,PCOL3911,2024-S1C-ND-CC,Tutorial quiz,Quizzes,10%,Multiple weeks,2 x 15min quizzes,Pharmacy
3,PCOL3911,2024-S1C-ND-CC,Participation,Tutorial participiation,2%,Ongoing,n/a,Pharmacy
4,PCOL3911,2024-S1C-ND-CC,Assignment,Toxicity Modelling,15%,8 Apr 2024,900 words,Pharmacy
5,PCOL3911,2024-S1C-ND-CC,Skills-based evaluation,Data Management Skills Assessment,5%,Week 11,10 minutes,Pharmacy
6,PCOL3911,2024-S1C-ND-CC,Assignment,LD50 report,20%,7 May 2024,1400 words,Pharmacy
0,PHIL1011,2024-S1C-ND-CC,Small test,Quizzes,10%,-,250 words,Philosophy
1,PHIL1011,2024-S1C-ND-CC,,Exam,50%,Formal exam period,2 hours,Philosophy
2,PHIL1011,2024-S1C-ND-CC,Online task,Quiz 1,0%,5 Mar 2024,250 words,Philosophy
3,PHIL1011,2024-S1C-ND-CC,Assignment,Essay outline,10%,3 Mar 2023,500 words,Philosophy
4,PHIL1011,2024-S1C-ND-CC,Assignment,Essay,30%,0 Apr 2023,1750 words,Philosophy
0,PHIL2615,2024-S1C-ND-CC,,final exam,60%,Formal exam period,2 hours,Philosophy
1,PHIL2615,2024-S1C-ND-CC,,mid-semester test,40%,Week 07,1 hour,Philosophy
0,PHIL2617,2024-S1C-ND-CC,Assignment,Take-home assignment,50%,3 Jun 2024,2500 words,Philosophy
1,PHIL2617,2024-S1C-ND-CC,Participation,Tutorial participation,10%,Ongoing,Continuous,Philosophy
2,PHIL2617,2024-S1C-ND-CC,Assignment,Essay,40%,8 Apr 2024,2000 words,Philosophy
0,PHIL2617,2024-S1CIFE-BM-CC,Skills-based evaluation,Take-Home Assignment,50%,4 Feb 2024,2500 words,Philosophy
1,PHIL2617,2024-S1CIFE-BM-CC,Assignment,Essay,40%,8 Jan 2024,2000 words,Philosophy
2,PHIL2617,2024-S1CIFE-BM-CC,Participation,Tutorial Participation,10%,Ongoing,Ongoing,Philosophy
0,PHIL2618,2024-S1C-ND-CC,Assignment,Final essay,50%,6 Jun 2024,2500 words,Philosophy
1,PHIL2618,2024-S1C-ND-CC,Presentation,Tutorial presentation,15%,e: 03 Jun 2,500 words,Philosophy
2,PHIL2618,2024-S1C-ND-CC,Assignment,Take-home assignment,30%,1 Mar 2024,1500 words,Philosophy
3,PHIL2618,2024-S1C-ND-CC,Participation,Participation in tutorial,5%,Weekly,Ongoing,Philosophy
0,PHIL2622,2024-S1C-ND-CC,Assignment,Essay,33%,7 Apr 2024,1500 words,Philosophy
1,PHIL2622,2024-S1C-ND-CC,Assignment,Take home exercise,45%,6 May 2024,2000 words,Philosophy
2,PHIL2622,2024-S1C-ND-CC,Small continuous assessment,Short multiple choice quizzes,22%,Weekly,1000 words,Philosophy
0,PHIL2623,2024-S1C-ND-CC,Assignment,Essay,50%,7 Apr 2024,2500 words,Philosophy
1,PHIL2623,2024-S1C-ND-CC,Assignment,Take-home test,50%,4 May 2024,2000 words,Philosophy
0,PHIL2655,2024-S1C-ND-CC,Assignment,Final essay,55%,3 Jun 2024,3000 words,Philosophy
1,PHIL2655,2024-S1C-ND-CC,Participation,Tutorial participation,10%,Ongoing,Weekly tutorial participation,Philosophy
2,PHIL2655,2024-S1C-ND-CC,Assignment,Mid-semester short essay,35%,2 Apr 2024,1500 words,Philosophy
0,PHIL2675,2024-S1C-ND-CC,Assignment,Final essay,50%,3 Jun 2024,2500 words,Philosophy
1,PHIL2675,2024-S1C-ND-CC,Small continuous assessment,participation and reflection,10%,Multiple weeks,-,Philosophy
